,Unnamed: 0,CAND_ID,CAND_NAME,CAND_OFFICE,CAND_ICI,STATE_FULL,PARTY_FULL,CAND_FIRST,CAND_LAST,SEARCH_QUERY,SEARCH_QUERY_W_STATE,SEARCH_URLS
3000,3000,H2NC12252,"GENTLE, TERRY D MR",House,Challenger,North Carolina,Republican Party,Terry,Gentle,Terry_Gentle,Terry_Gentle_(North Carolina),https://ballotpedia.org/Terry_Gentle
3001,3001,H2NC13110,"HOLDING, GEORGE E MR.",House,Challenger,North Carolina,Republican Party,George,Holding,George_Holding,George_Holding_(North Carolina),https://ballotpedia.org/George_Holding
3002,3002,H2NC13151,"BREWSTER, BILLY JOE",House,Open seat,North Carolina,Republican Party,Billy,Brewster,Billy_Brewster,Billy_Brewster_(North Carolina),https://ballotpedia.org/Billy_Brewster
3003,3003,H2NC13169,"BOYKIN, PETER ROBERT",House,Open seat,North Carolina,Republican Party,Peter,Boykin,Peter_Boykin,Peter_Boykin_(North Carolina),https://ballotpedia.org/Peter_Boykin
3004,3004,H2NC13177,"HAFF, GRAYSON",House,Open seat,North Carolina,Republican Party,Grayson,Haff,Grayson_Haff,Grayson_Haff_(North Carolina),https://ballotpedia.org/Grayson_Haff
3005,3005,H2NC13185,"GEELS, COURTNEY JOELE",House,Open seat,North Carolina,Republican Party,Courtney,Geels,Courtney_Geels,Courtney_Geels_(North Carolina),https://ballotpedia.org/Courtney_Geels
3006,3006,H2NC13193,"KEIRSEY, KENT",House,Open seat,North Carolina,Republican Party,Kent,Keirsey,Kent_Keirsey,Kent_Keirsey_(North Carolina),https://ballotpedia.org/Kent_Keirsey
3007,3007,H2NC13201,"BENTLEY, KAREN W",House,Open seat,North Carolina,Republican Party,Karen,Bentley,Karen_Bentley,Karen_Bentley_(North Carolina),https://ballotpedia.org/Karen_Bentley
3008,3008,H2NC13227,"ANERALLA, JOHN",House,Open seat,North Carolina,Republican Party,John,Aneralla,John_Aneralla,John_Aneralla_(North Carolina),https://ballotpedia.org/John_Aneralla
3009,3009,H2NC13235,"GENANT, PAMELA",House,Open seat,North Carolina,Democratic Party,Pamela,Genant,Pamela_Genant,Pamela_Genant_(North Carolina),https://ballotpedia.org/Pamela_Genant
3010,3010,H2NC13243,"HARRIGAN, PAT",House,Open seat,North Carolina,Republican Party,Pat,Harrigan,Pat_Harrigan,Pat_Harrigan_(North Carolina),https://ballotpedia.org/Pat_Harrigan
3011,3011,H2NC13268,"MOREL, JESSICA",House,Open seat,North Carolina,Republican Party,Jessica,Morel,Jessica_Morel,Jessica_Morel_(North Carolina),https://ballotpedia.org/Jessica_Morel
3012,3012,H2NC13276,"BOWLES, JAMIE CAMPBELL MS.",House,,North Carolina,Democratic Party,Jamie,Bowles,Jamie_Bowles,Jamie_Bowles_(North Carolina),https://ballotpedia.org/Jamie_Bowles
3013,3013,H2NC14019,"NICKEL, WILEY",House,Open seat,North Carolina,Democratic Party,Wiley,Nickel,Wiley_Nickel,Wiley_Nickel_(North Carolina),https://ballotpedia.org/Wiley_Nickel
3014,3014,H2NC14027,"CLICK, NATHAN",House,Challenger,North Carolina,Democratic Party,Nathan,Click,Nathan_Click,Nathan_Click_(North Carolina),https://ballotpedia.org/Nathan_Click
3015,3015,H2NC14035,"WOODHOUSE, MICHELE V",House,Challenger,North Carolina,Republican Party,Michele,Woodhouse,Michele_Woodhouse,Michele_Woodhouse_(North Carolina),https://ballotpedia.org/Michele_Woodhouse
3016,3016,H2NC14050,"EDWARDS, CHUCK",House,Challenger,North Carolina,Republican Party,Chuck,Edwards,Chuck_Edwards,Chuck_Edwards_(North Carolina),https://ballotpedia.org/Chuck_Edwards
3017,3017,H2NC14068,"MCKIM, KEN",House,Open seat,North Carolina,Republican Party,Ken,Mckim,Ken_Mckim,Ken_Mckim_(North Carolina),https://ballotpedia.org/Ken_Mckim
3018,3018,H2NC14076,"JACKSON, JEFF",House,Open seat,North Carolina,Democratic Party,Jeff,Jackson,Jeff_Jackson,Jeff_Jackson_(North Carolina),https://ballotpedia.org/Jeff_Jackson
3019,3019,H2NC14084,"SIMPSON, JONATHAN DAVID",House,Open seat,North Carolina,Republican Party,Jonathan,Simpson,Jonathan_Simpson,Jonathan_Simpson_(North Carolina),https://ballotpedia.org/Jonathan_Simpson
3020,3020,H2ND00123,"GOETTLE, SHANE CHRISTOPHER",House,Open seat,North Dakota,Republican Party,Shane,Goettle,Shane_Goettle,Shane_Goettle_(North Dakota),https://ballotpedia.org/Shane_Goettle
3021,3021,H2ND00131,"KOPPELMAN, KIM A",House,Open seat,North Dakota,Republican Party,Kim,Koppelman,Kim_Koppelman,Kim_Koppelman_(North Dakota),https://ballotpedia.org/Kim_Koppelman
3022,3022,H2ND01014,"HAUGEN, MARK",House,Challenger,North Dakota,Democratic Party,Mark,Haugen,Mark_Haugen,Mark_Haugen_(North Dakota),https://ballotpedia.org/Mark_Haugen
3023,3023,H2NE01092,"PANSING BROOKS, PATTY",House,Challenger,Nebraska,Democratic Party,Patty,Pansing brooks,Patty_Pansing brooks,Patty_Pansing brooks_(Nebraska),https://ballotpedia.org/Patty_Pansing brooks
3024,3024,H2NE01100,"ZAKARIA, JOSEPH KUAL MR.",House,Challenger,Nebraska,Democratic Party,Joseph,Zakaria,Joseph_Zakaria,Joseph_Zakaria_(Nebraska),https://ballotpedia.org/Joseph_Zakaria
3025,3025,H2NE01118,"FLOOD, MIKE",House,Challenger,Nebraska,Republican Party,Mike,Flood,Mike_Flood,Mike_Flood_(Nebraska),https://ballotpedia.org/Mike_Flood
3026,3026,H2NE01126,"WEYER, DANIEL FRED",House,Challenger,Nebraska,New Alliance,Daniel,Weyer,Daniel_Weyer,Daniel_Weyer_(Nebraska),https://ballotpedia.org/Daniel_Weyer
3027,3027,H2NE01159,"WEAVER, JOHN GLEN LTCOL RET.",House,Challenger,Nebraska,Republican Party,John,Weaver,John_Weaver,John_Weaver_(Nebraska),https://ballotpedia.org/John_Weaver
3028,3028,H2NE01183,"CONNELY, THIREENA YUKI",House,,Nebraska,Republican Party,Thireena,Connely,Thireena_Connely,Thireena_Connely_(Nebraska),https://ballotpedia.org/Thireena_Connely
3029,3029,H2NE01191,"HUFFMAN, CURTIS D",House,,Nebraska,Republican Party,Curtis,Huffman,Curtis_Huffman,Curtis_Huffman_(Nebraska),https://ballotpedia.org/Curtis_Huffman
3030,3030,H2NE02124,"SHELTON, ALISHA",House,Challenger,Nebraska,Democratic Party,Alisha,Shelton,Alisha_Shelton,Alisha_Shelton_(Nebraska),https://ballotpedia.org/Alisha_Shelton
3031,3031,H2NE02132,"VARGAS, ANTHONY 'TONY'",House,Challenger,Nebraska,Democratic Party,Anthony,Vargas,Anthony_Vargas,Anthony_Vargas_(Nebraska),https://ballotpedia.org/Anthony_Vargas
3032,3032,H2NE02140,"WILLIAMS, CORNELIUS F",House,Challenger,Nebraska,Democratic Party,Cornelius,Williams,Cornelius_Williams,Cornelius_Williams_(Nebraska),https://ballotpedia.org/Cornelius_Williams
3033,3033,H2NE02157,"KUEHL, STEPHEN MATTHEW MR",House,Challenger,Nebraska,Republican Party,Stephen,Kuehl,Stephen_Kuehl,Stephen_Kuehl_(Nebraska),https://ballotpedia.org/Stephen_Kuehl
3034,3034,H2NE03056,"WIK, DANIEL MARTIN MD",House,Challenger,Nebraska,Democratic Party,Daniel,Wik,Daniel_Wik,Daniel_Wik_(Nebraska),https://ballotpedia.org/Daniel_Wik
3035,3035,H2NE03064,"CALHOUN, MIKE",House,,Nebraska,Republican Party,Mike,Calhoun,Mike_Calhoun,Mike_Calhoun_(Nebraska),https://ballotpedia.org/Mike_Calhoun
3036,3036,H2NH00025,"BURNS, ROBERT ANDREW MR.",House,Challenger,New Hampshire,Republican Party,Robert,Burns,Robert_Burns,Robert_Burns_(New Hampshire),https://ballotpedia.org/Robert_Burns
3037,3037,H2NH01254,"ACCIARD, JULIAN MARC",House,Challenger,New Hampshire,Republican Party,Julian,Acciard,Julian_Acciard,Julian_Acciard_(New Hampshire),https://ballotpedia.org/Julian_Acciard
3038,3038,H2NH01262,"BAXTER, TIM",House,Challenger,New Hampshire,Republican Party,Tim,Baxter,Tim_Baxter,Tim_Baxter_(New Hampshire),https://ballotpedia.org/Tim_Baxter
3039,3039,H2NH01270,"LEAVITT, KAROLINE",House,Challenger,New Hampshire,Republican Party,Karoline,Leavitt,Karoline_Leavitt,Karoline_Leavitt_(New Hampshire),https://ballotpedia.org/Karoline_Leavitt
3040,3040,H2NH01288,"HUFF BROWN, GAIL",House,Challenger,New Hampshire,Republican Party,Gail,Huff brown,Gail_Huff brown,Gail_Huff brown_(New Hampshire),https://ballotpedia.org/Gail_Huff brown
3041,3041,H2NH01296,"KILBANE, MARK",House,Challenger,New Hampshire,Republican Party,Mark,Kilbane,Mark_Kilbane,Mark_Kilbane_(New Hampshire),https://ballotpedia.org/Mark_Kilbane
3042,3042,H2NH02211,"BRYK, WILLIAM MICHAEL",House,Challenger,New Hampshire,Democratic Party,William,Bryk,William_Bryk,William_Bryk_(New Hampshire),https://ballotpedia.org/William_Bryk
3043,3043,H2NH02229,"POIRIER, DEAN ALLAN MR",House,Challenger,New Hampshire,Republican Party,Dean,Poirier,Dean_Poirier,Dean_Poirier_(New Hampshire),https://ballotpedia.org/Dean_Poirier
3044,3044,H2NH02237,"GREESON, JEFFREY",House,Challenger,New Hampshire,Republican Party,Jeffrey,Greeson,Jeffrey_Greeson,Jeffrey_Greeson_(New Hampshire),https://ballotpedia.org/Jeffrey_Greeson
3045,3045,H2NH02245,"COZZENS, JEFF",House,Challenger,New Hampshire,Republican Party,Jeff,Cozzens,Jeff_Cozzens,Jeff_Cozzens_(New Hampshire),https://ballotpedia.org/Jeff_Cozzens
3046,3046,H2NH02252,"RIDDLE, JASON DANIEL",House,Challenger,New Hampshire,Republican Party,Jason,Riddle,Jason_Riddle,Jason_Riddle_(New Hampshire),https://ballotpedia.org/Jason_Riddle
3047,3047,H2NH02260,"WILLIAMS, LILY TANG",House,Challenger,New Hampshire,Republican Party,Lily,Williams,Lily_Williams,Lily_Williams_(New Hampshire),https://ballotpedia.org/Lily_Williams
3048,3048,H2NH02286,"BLACK, SCOTT",House,Challenger,New Hampshire,Republican Party,Scott,Black,Scott_Black,Scott_Black_(New Hampshire),https://ballotpedia.org/Scott_Black
3049,3049,H2NH14018,"CLAREMONT, MATHEW MR",House,,New Hampshire,Independent Conservative Democratic,Mathew,Claremont,Mathew_Claremont,Mathew_Claremont_(New Hampshire),https://ballotpedia.org/Mathew_Claremont
3050,3050,H2NH18019,"WEINBERG, ELIJAH MR",House,,New Hampshire,Independent Conservative Democratic,Elijah,Weinberg,Elijah_Weinberg,Elijah_Weinberg_(New Hampshire),https://ballotpedia.org/Elijah_Weinberg
3051,3051,H2NH18027,"GATES, DAVID MR",House,,New Hampshire,Independent Conservative Democratic,David,Gates,David_Gates,David_Gates_(New Hampshire),https://ballotpedia.org/David_Gates
3052,3052,H2NH29016,"MICHAEL, GIDEON MR",House,,New Hampshire,Independent Conservative Democratic,Gideon,Michael,Gideon_Michael,Gideon_Michael_(New Hampshire),https://ballotpedia.org/Gideon_Michael
3053,3053,H2NH59013,"JORDAN, BRENT MR",House,Challenger,New Hampshire,Independent Conservative Democratic,Brent,Jordan,Brent_Jordan,Brent_Jordan_(New Hampshire),https://ballotpedia.org/Brent_Jordan
3054,3054,H2NJ01120,"DESANTIS, MARIO",House,Challenger,New Jersey,Democratic Party,Mario,Desantis,Mario_Desantis,Mario_Desantis_(New Jersey),https://ballotpedia.org/Mario_Desantis
3055,3055,H2NJ01138,"PARK, CHARLES",House,Challenger,New Jersey,Independent,Charles,Park,Charles_Park,Charles_Park_(New Jersey),https://ballotpedia.org/Charles_Park
3056,3056,H2NJ01146,"DEANGELO, ELAINE LOUISE",House,Challenger,New Jersey,Republican Party,Elaine,Deangelo,Elaine_Deangelo,Elaine_Deangelo_(New Jersey),https://ballotpedia.org/Elaine_Deangelo
3057,3057,H2NJ01153,"KLINE, PATRICIA",House,Challenger,New Jersey,Independent,Patricia,Kline,Patricia_Kline,Patricia_Kline_(New Jersey),https://ballotpedia.org/Patricia_Kline
3058,3058,H2NJ01161,"FLETCHER, ISAIAH",House,,New Jersey,Libertarian Party,Isaiah,Fletcher,Isaiah_Fletcher,Isaiah_Fletcher_(New Jersey),https://ballotpedia.org/Isaiah_Fletcher
3059,3059,H2NJ01179,"FLETCHER, ISAIAH",House,,New Jersey,Libertarian Party,Isaiah,Fletcher,Isaiah_Fletcher,Isaiah_Fletcher_(New Jersey),https://ballotpedia.org/Isaiah_Fletcher
3060,3060,H2NJ02037,"LOBIONDO, FRANK A.",House,Incumbent,New Jersey,Republican Party,Frank,Lobiondo,Frank_Lobiondo,Frank_Lobiondo_(New Jersey),https://ballotpedia.org/Frank_Lobiondo
3061,3061,H2NJ02060,"BACON, ROGER",House,Challenger,New Jersey,Democratic Party,Roger,Bacon,Roger_Bacon,Roger_Bacon_(New Jersey),https://ballotpedia.org/Roger_Bacon
3062,3062,H2NJ02193,"ALEXANDER, TIMOTHY C",House,Challenger,New Jersey,Democratic Party,Timothy,Alexander,Timothy_Alexander,Timothy_Alexander_(New Jersey),https://ballotpedia.org/Timothy_Alexander
3063,3063,H2NJ02201,"TAVAREZ, HECTOR MR",House,Challenger,New Jersey,Democratic Party,Hector,Tavarez,Hector_Tavarez,Hector_Tavarez_(New Jersey),https://ballotpedia.org/Hector_Tavarez
3064,3064,H2NJ02219,"RUSH, CAROLYN",House,Challenger,New Jersey,Democratic Party,Carolyn,Rush,Carolyn_Rush,Carolyn_Rush_(New Jersey),https://ballotpedia.org/Carolyn_Rush
3065,3065,H2NJ02227,"GREEN, CURTIS REV",House,Challenger,New Jersey,Democratic Party,Curtis,Green,Curtis_Green,Curtis_Green_(New Jersey),https://ballotpedia.org/Curtis_Green
3066,3066,H2NJ02235,"HITCHNER, SCOTT JR",House,Challenger,New Jersey,Republican Party,Scott,Hitchner,Scott_Hitchner,Scott_Hitchner_(New Jersey),https://ballotpedia.org/Scott_Hitchner
3067,3067,H2NJ02243,"GALLO, MICHAEL",House,,New Jersey,Libertarian Party,Michael,Gallo,Michael_Gallo,Michael_Gallo_(New Jersey),https://ballotpedia.org/Michael_Gallo
3068,3068,H2NJ03233,"FLANAGAN, TRICIA",House,Challenger,New Jersey,Republican Party,Tricia,Flanagan,Tricia_Flanagan,Tricia_Flanagan_(New Jersey),https://ballotpedia.org/Tricia_Flanagan
3069,3069,H2NJ03241,"HYLAND, SHAWN",House,Challenger,New Jersey,Republican Party,Shawn,Hyland,Shawn_Hyland,Shawn_Hyland_(New Jersey),https://ballotpedia.org/Shawn_Hyland
3070,3070,H2NJ03258,"HEALEY, ROBERT JR",House,Challenger,New Jersey,Republican Party,Robert,Healey,Robert_Healey,Robert_Healey_(New Jersey),https://ballotpedia.org/Robert_Healey
3071,3071,H2NJ03266,"BARKER, JOHN",House,Challenger,New Jersey,Republican Party,John,Barker,John_Barker,John_Barker_(New Jersey),https://ballotpedia.org/John_Barker
3072,3072,H2NJ03274,"HENDLER, REUVEN",House,Challenger,New Jersey,Democratic Party,Reuven,Hendler,Reuven_Hendler,Reuven_Hendler_(New Jersey),https://ballotpedia.org/Reuven_Hendler
3073,3073,H2NJ03282,"SMITH, IAN",House,Challenger,New Jersey,Republican Party,Ian,Smith,Ian_Smith,Ian_Smith_(New Jersey),https://ballotpedia.org/Ian_Smith
3074,3074,H2NJ03290,"FERRARA, NICHOLAS JUDE",House,Challenger,New Jersey,Republican Party,Nicholas,Ferrara,Nicholas_Ferrara,Nicholas_Ferrara_(New Jersey),https://ballotpedia.org/Nicholas_Ferrara
3075,3075,H2NJ03308,"RUSSOMANNO, CHRISTOPHER",House,,New Jersey,Libertarian Party,Christopher,Russomanno,Christopher_Russomanno,Christopher_Russomanno_(New Jersey),https://ballotpedia.org/Christopher_Russomanno
3076,3076,H2NJ04181,"BLASI, MICHAEL",House,Challenger,New Jersey,Republican Party,Michael,Blasi,Michael_Blasi,Michael_Blasi_(New Jersey),https://ballotpedia.org/Michael_Blasi
3077,3077,H2NJ04199,"BURG, DAVID LOREN",House,Challenger,New Jersey,Republican Party,David,Burg,David_Burg,David_Burg_(New Jersey),https://ballotpedia.org/David_Burg
3078,3078,H2NJ04207,"CRISPI, MICHAEL",House,Challenger,New Jersey,Republican Party,Michael,Crispi,Michael_Crispi,Michael_Crispi_(New Jersey),https://ballotpedia.org/Michael_Crispi
3079,3079,H2NJ04215,"JENKINS, MATTHEW",House,Challenger,New Jersey,Democratic Party,Matthew,Jenkins,Matthew_Jenkins,Matthew_Jenkins_(New Jersey),https://ballotpedia.org/Matthew_Jenkins
3080,3080,H2NJ04223,"GRAY, STEVEN SCOTT MR.",House,Challenger,New Jersey,Republican Party,Steven,Gray,Steven_Gray,Steven_Gray_(New Jersey),https://ballotpedia.org/Steven_Gray
3081,3081,H2NJ04231,"CULLEN, JASON CULLEN",House,,New Jersey,Libertarian Party,Jason,Cullen,Jason_Cullen,Jason_Cullen_(New Jersey),https://ballotpedia.org/Jason_Cullen
3082,3082,H2NJ05014,"FRELINGHUYSEN, RODNEY P.",House,Incumbent,New Jersey,Republican Party,Rodney,Frelinghuysen,Rodney_Frelinghuysen,Rodney_Frelinghuysen_(New Jersey),https://ballotpedia.org/Rodney_Frelinghuysen
3083,3083,H2NJ05303,"D'AGOSTINO, NICHOLAS A. MR.",House,Challenger,New Jersey,Republican Party,Nicholas,D'agostino,Nicholas_D'agostino,Nicholas_D'agostino_(New Jersey),https://ballotpedia.org/Nicholas_D'agostino
3084,3084,H2NJ05311,"DE GREGORIO, NICHOLAS",House,Challenger,New Jersey,Republican Party,Nicholas,De gregorio,Nicholas_De gregorio,Nicholas_De gregorio_(New Jersey),https://ballotpedia.org/Nicholas_De gregorio
3085,3085,H2NJ05329,"SCHNEIDERMAN, FRED",House,Challenger,New Jersey,Republican Party,Fred,Schneiderman,Fred_Schneiderman,Fred_Schneiderman_(New Jersey),https://ballotpedia.org/Fred_Schneiderman
3086,3086,H2NJ06202,"EUVIN, SHERRY LEANNE",House,Challenger,New Jersey,Democratic Party,Sherry,Euvin,Sherry_Euvin,Sherry_Euvin_(New Jersey),https://ballotpedia.org/Sherry_Euvin
3087,3087,H2NJ06210,"MELE, GREGG",House,Challenger,New Jersey,Republican Party,Gregg,Mele,Gregg_Mele,Gregg_Mele_(New Jersey),https://ballotpedia.org/Gregg_Mele
3088,3088,H2NJ06228,"KILEY, SUSAN M",House,Challenger,New Jersey,Republican Party,Susan,Kiley,Susan_Kiley,Susan_Kiley_(New Jersey),https://ballotpedia.org/Susan_Kiley
3089,3089,H2NJ06236,"FISHER, TARA LYNN",House,,New Jersey,Libertarian Party,Tara,Fisher,Tara_Fisher,Tara_Fisher_(New Jersey),https://ballotpedia.org/Tara_Fisher
3090,3090,H2NJ07192,"MEHTA, RIK",House,Challenger,New Jersey,Republican Party,Rik,Mehta,Rik_Mehta,Rik_Mehta_(New Jersey),https://ballotpedia.org/Rik_Mehta
3091,3091,H2NJ07200,"ISEMANN, JOHN HENRY",House,Challenger,New Jersey,Republican Party,John,Isemann,John_Isemann,John_Isemann_(New Jersey),https://ballotpedia.org/John_Isemann
3092,3092,H2NJ07218,"PETERSON, ERIK",House,Challenger,New Jersey,Republican Party,Erik,Peterson,Erik_Peterson,Erik_Peterson_(New Jersey),https://ballotpedia.org/Erik_Peterson
3093,3093,H2NJ07226,"DORLON, KEVIN BRENDAN MR.",House,Challenger,New Jersey,Republican Party,Kevin,Dorlon,Kevin_Dorlon,Kevin_Dorlon_(New Jersey),https://ballotpedia.org/Kevin_Dorlon
3094,3094,H2NJ07234,"SCHWAB, STERLING IRWIN",House,Challenger,New Jersey,Republican Party,Sterling,Schwab,Sterling_Schwab,Sterling_Schwab_(New Jersey),https://ballotpedia.org/Sterling_Schwab
3095,3095,H2NJ07242,"FLORA, JOHN P",House,Challenger,New Jersey,Republican Party,John,Flora,John_Flora,John_Flora_(New Jersey),https://ballotpedia.org/John_Flora
3096,3096,H2NJ07259,"WIENBERG, BRANDON",House,Challenger,New Jersey,Democratic Party,Brandon,Wienberg,Brandon_Wienberg,Brandon_Wienberg_(New Jersey),https://ballotpedia.org/Brandon_Wienberg
3097,3097,H2NJ07267,"FERNANDEZ, VERONICA",House,Challenger,New Jersey,Independent,Veronica,Fernandez,Veronica_Fernandez,Veronica_Fernandez_(New Jersey),https://ballotpedia.org/Veronica_Fernandez
3098,3098,H2NJ07275,"NAIK, HARSH MR.",House,Challenger,New Jersey,Independent,Harsh,Naik,Harsh_Naik,Harsh_Naik_(New Jersey),https://ballotpedia.org/Harsh_Naik
3099,3099,H2NJ07283,"PAJUNAS, CLAYTON",House,,New Jersey,Libertarian Party,Clayton,Pajunas,Clayton_Pajunas,Clayton_Pajunas_(New Jersey),https://ballotpedia.org/Clayton_Pajunas
3100,3100,H2NJ08232,"MENENDEZ, ROBERT J.",House,Open seat,New Jersey,Democratic Party,Robert,Menendez,Robert_Menendez,Robert_Menendez_(New Jersey),https://ballotpedia.org/Robert_Menendez
3101,3101,H2NJ08240,"OCAMPO GRAJALES, DAVID",House,Open seat,New Jersey,Democratic Party,David,Ocampo grajales,David_Ocampo grajales,David_Ocampo grajales_(New Jersey),https://ballotpedia.org/David_Ocampo grajales
3102,3102,H2NJ08257,"ROJAS, RICARDO LUIS",House,Open seat,New Jersey,Democratic Party,Ricardo,Rojas,Ricardo_Rojas,Ricardo_Rojas_(New Jersey),https://ballotpedia.org/Ricardo_Rojas
3103,3103,H2NJ08265,"VARELA, BRIAN",House,Open seat,New Jersey,Democratic Party,Brian,Varela,Brian_Varela,Brian_Varela_(New Jersey),https://ballotpedia.org/Brian_Varela
3104,3104,H2NJ08273,"EBERHARD, ANDREA ROSEBOROUGH",House,,New Jersey,Democratic Party,Andrea,Eberhard,Andrea_Eberhard,Andrea_Eberhard_(New Jersey),https://ballotpedia.org/Andrea_Eberhard
3105,3105,H2NJ08281,"DELANEY, DAN MR",House,,New Jersey,Libertarian Party,Dan,Delaney,Dan_Delaney,Dan_Delaney_(New Jersey),https://ballotpedia.org/Dan_Delaney
3106,3106,H2NJ09149,"ARMSTRONG, SEAN ARMSTRONG",House,,New Jersey,Libertarian Party,Sean,Armstrong,Sean_Armstrong,Sean_Armstrong_(New Jersey),https://ballotpedia.org/Sean_Armstrong
3107,3107,H2NJ10154,"PAYNE, DONALD M. JR",House,Incumbent,New Jersey,Democratic Party,Donald,Payne,Donald_Payne,Donald_Payne_(New Jersey),https://ballotpedia.org/Donald_Payne
3108,3108,H2NJ10204,"OAKLEY, IMANI RAINE",House,Challenger,New Jersey,Democratic Party,Imani,Oakley,Imani_Oakley,Imani_Oakley_(New Jersey),https://ballotpedia.org/Imani_Oakley
3109,3109,H2NJ10212,"KHALFANI, AKIL KOKAYI DR",House,Challenger,New Jersey,Democratic Party,Akil,Khalfani,Akil_Khalfani,Akil_Khalfani_(New Jersey),https://ballotpedia.org/Akil_Khalfani
3110,3110,H2NJ10220,"KHALFANI, AKIL KOKAYI DR",House,Challenger,New Jersey,Democratic Party,Akil,Khalfani,Akil_Khalfani,Akil_Khalfani_(New Jersey),https://ballotpedia.org/Akil_Khalfani
3111,3111,H2NJ10238,"STEWART, GARTH",House,Challenger,New Jersey,Republican Party,Garth,Stewart,Garth_Stewart,Garth_Stewart_(New Jersey),https://ballotpedia.org/Garth_Stewart
3112,3112,H2NJ10246,"LUDDEN, KENDAL",House,,New Jersey,Liberal Party,Kendal,Ludden,Kendal_Ludden,Kendal_Ludden_(New Jersey),https://ballotpedia.org/Kendal_Ludden
3113,3113,H2NJ10253,"LUDDEN, KENDAL",House,,New Jersey,Liberal Party,Kendal,Ludden,Kendal_Ludden,Kendal_Ludden_(New Jersey),https://ballotpedia.org/Kendal_Ludden
3114,3114,H2NJ11137,"BROTSCHOL, HILLERY",House,Challenger,New Jersey,Republican Party,Hillery,Brotschol,Hillery_Brotschol,Hillery_Brotschol_(New Jersey),https://ballotpedia.org/Hillery_Brotschol
3115,3115,H2NJ11145,"KOVIC, ROBERT D.",House,Challenger,New Jersey,Republican Party,Robert,Kovic,Robert_Kovic,Robert_Kovic_(New Jersey),https://ballotpedia.org/Robert_Kovic
3116,3116,H2NJ11152,"QUINN, PATRICK JAMES MR. III",House,Challenger,New Jersey,Republican Party,Patrick,Quinn,Patrick_Quinn,Patrick_Quinn_(New Jersey),https://ballotpedia.org/Patrick_Quinn
3117,3117,H2NJ11160,"TOOMEY, THOMAS AUGUSTINE MR.",House,Challenger,New Jersey,Republican Party,Thomas,Toomey,Thomas_Toomey,Thomas_Toomey_(New Jersey),https://ballotpedia.org/Thomas_Toomey
3118,3118,H2NJ11178,"SELEN, TAYFUN",House,Challenger,New Jersey,Republican Party,Tayfun,Selen,Tayfun_Selen,Tayfun_Selen_(New Jersey),https://ballotpedia.org/Tayfun_Selen
3119,3119,H2NJ11186,"DEGROOT, PAUL",House,Challenger,New Jersey,Republican Party,Paul,Degroot,Paul_Degroot,Paul_Degroot_(New Jersey),https://ballotpedia.org/Paul_Degroot
